routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
1,1D,1D,Maninagar - Ghuma Gam,Maninagar,Ghuma Gam,57,270,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
5,12U-CR,12U,Chandkheda Gam - Rabari Colony,Chandkheda Gam,Rabari Colony,225,96,06:05:00,08:23:00,"1,2,3,4,5,6,7",BRTS,NORMAL
20,1S-CG,1S,Chhipa Society - Ghuma Gam,Chhipa Society,Ghuma Gam,70,270,05:58:00,07:48:00,"1,2,3,4,5,6,7",BRTS,NORMAL
22,1S-JG,1S,Jaimangal - Ghuma Gam,Jaimangal,Ghuma Gam,13,270,15:20:00,16:00:00,"1,2,3,4,5,6,7",BRTS,NORMAL
23,1S-SM,1S,Soma Textiles - Maninagar,Soma Textiles,Maninagar,227,317,06:00:00,09:27:00,"1,2,3,4,5,6,7",BRTS,NORMAL
25,1E-GJ,1E,Ghuma Gam - Jaimangal,Ghuma Gam,Jaimangal,269,14,10:39:00,22:40:00,"1,2,3,4,5,6,7",BRTS,NORMAL
26,1E-GK,1E,Ghuma Gam - Kashiram Textiles,Ghuma Gam,Kashiram Textiles,269,75,22:35:00,22:35:00,"1,2,3,4,5,6,7",BRTS,NORMAL
29,1E-MS,1E,Maninagar - Soma Textiles,Maninagar,Soma Textiles,57,228,19:09:00,22:50:00,"1,2,3,4,5,6,7",BRTS,NORMAL
30,1U,1U,Ghuma Gam - Maninagar,Ghuma Gam,Maninagar,269,317,06:10:00,22:46:00,"1,2,3,4,5,6,7",BRTS,NORMAL
44,2D-OI,2D,Odhav Ring Road - ISKCON,SP Ring Road Approach,ISKCON Cross Road,157,144,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
45,4E-AB,4E,Amba Township - Sarthi Bungalows,Amba Township,Sarthi Bungalows,409,251,20:05:00,21:32:00,"1,2,3,4,5,6,7",BRTS,NORMAL
50,2D-SL,2D,Odhav Ring Road - LD Engg. College,SP Ring Road Approach,LD Engg. College,157,235,21:30:00,21:30:00,"1,2,3,4,5,6,7",BRTS,NORMAL
53,2S-JI,2S,Jaimangal - ISKCON,Jaimangal,ISKCON Cross Road,13,144,05:59:00,17:16:00,"1,2,3,4,5,6,7",BRTS,NORMAL
56,5U-VN,5U,Vasna - Hanspura Ring Road,Vasna,Hanspura Ring Road,275,366,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
58,6D,6D,Naroda S. T. Workshop - Narol,Naroda S. T. Workshop,Narol,121,78,06:05:00,21:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
59,11D-OL,11D,Odhav Ring Road - LD Engg. College,SP Ring Road Approach,LD Engg. College,157,235,06:00:00,21:51:00,"1,2,3,4,5,6,7",BRTS,NORMAL
60,2E-IJ,2E,ISKCON - Jaimangal,ISKCON Cross Road,Jaimangal,143,14,11:27:00,21:40:00,"1,2,3,4,5,6,7",BRTS,NORMAL
68,2U-IO,2U,ISKCON - Odhav Ring Road,ISKCON Cross Road,SP Ring Road Approach,143,158,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
70,2U-LS,2U,LD Engg. College - Odhav Ring Road,LD Engg. College,SP Ring Road Approach,236,158,22:32:00,22:32:00,"1,2,3,4,5,6,7",BRTS,NORMAL
73,3D,3D,Maninagar - R.T.O Circle,Maninagar,R.T.O Circle,57,1,06:05:00,21:00:00,"1,2,3,4,5,6,7",BRTS,NORMAL
78,3D-MC,3D,Maninagar - Chandkheda Gam,Maninagar,Chandkheda Gam,57,226,19:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
82,3S-CM,3S,Chhipa Society - Maninagar,Chhipa Society,Maninagar,70,317,06:03:00,10:22:00,"1,2,3,4,5,6,7",BRTS,NORMAL
83,3E-MK,3E,Maninagar - Kashiram Textiles,Maninagar,Kashiram Textiles,57,75,19:49:00,22:02:00,"1,2,3,4,5,6,7",BRTS,NORMAL
85,3U,3U,R.T.O Circle - Maninagar,R.T.O Circle,Maninagar,318,317,06:07:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
87,3U-CM,3U,Chandkheda Gam - Maninagar,Chandkheda Gam,Maninagar,225,317,06:02:00,08:57:00,"1,2,3,4,5,6,7",BRTS,NORMAL
93,4D-LA,4D,LD Engg College - Amba Township,LD Engg. College,Amba Township,236,408,06:05:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
97,4D-LZ,4D,LD Engg. College - Zundal Circle,LD Engg. College,DCIS Circle,236,254,06:20:00,22:55:00,"1,2,3,4,5,6,7",BRTS,NORMAL
105,4S-PZ,4S,Pragatinagar - Zundal Circle,Pragatinagar,DCIS Circle,10,254,16:21:00,16:21:00,"1,2,3,4,5,6,7",BRTS,NORMAL
106,4S-SA,4S,Sarthi Bungalows - Amba Township,Sarthi Bungalows,Amba Township,252,408,06:00:00,09:24:00,"1,2,3,4,5,6,7",BRTS,NORMAL
112,4E-ZS,4E,Zundal Circle - Shastrinagar,DCIS Circle,Shastrinagar,253,11,11:55:00,22:48:00,"1,2,3,4,5,6,7",BRTS,NORMAL
113,4U-AL,4U,Amba Township - LD Engg College,Amba Township,LD Engg. College,409,235,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
119,4U-ZL,4U,Zundal Circle - LD Engg. College,DCIS Circle,LD Engg. College,253,235,06:00:00,21:53:00,"1,2,3,4,5,6,7",BRTS,NORMAL
126,5D-NV,5D,Hanspura Ring Road - Vasna,Hanspura Ring Road,Vasna,367,276,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
130,5S-CH,5S,Geeta Gauri Cinema - Hanspura Ring Road,Geeta Gauri Cinema,Hanspura Ring Road,102,366,16:24:00,16:58:00,"1,2,3,4,5,6,7",BRTS,NORMAL
131,5S-CV,5S,Chhipa Society - Vasna,Chhipa Society,Vasna,70,276,06:00:00,09:28:00,"1,2,3,4,5,6,7",BRTS,NORMAL
136,5S-RV,5S,Rameshwar Park - Vasna,Rameshwar Park,Vasna,99,276,06:18:00,16:49:00,"1,2,3,4,5,6,7",BRTS,NORMAL
137,5S-WH,5S,Naroda S. T. Workshop - Hanspura Ring Road,Naroda S. T. Workshop,Hanspura Ring Road,122,366,06:00:00,09:56:00,"1,2,3,4,5,6,7",BRTS,NORMAL
138,17U,17U,South Bopal - Nehrunagar,South Bopal BRTS Terminus,Nehrunagar,357,31,06:15:00,22:01:00,"1,2,3,4,5,6,7",BRTS,NORMAL
141,5E-HC,5E,Hanspura Ring Road - Geeta Gauri Cinema,Hanspura Ring Road,Geeta Gauri Cinema,367,101,11:53:00,22:41:00,"1,2,3,4,5,6,7",BRTS,NORMAL
143,5E-HW,5E,Hanspura Ring Road - Naroda S. T. Workshop,Hanspura Ring Road,Naroda S. T. Workshop,367,121,17:15:00,22:35:00,"1,2,3,4,5,6,7",BRTS,NORMAL
146,5E-VK,5E,Vasna - Kashiram Textiles,Vasna,Kashiram Textiles,275,75,19:56:00,19:56:00,"1,2,3,4,5,6,7",BRTS,NORMAL
148,5E-VR,5E,Vasna - Rameshwar Park,Vasna,Rameshwar Park,275,100,10:34:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
154,6S-CS,6S,Geeta Gauri Cinema - Naroda ST Workshop,Geeta Gauri Cinema,Naroda S. T. Workshop,102,122,07:19:00,17:34:00,"1,2,3,4,5,6,7",BRTS,NORMAL
155,6E-NR,6E,Narol - Rameshwar Park,Narol,Rameshwar Park,77,100,10:27:00,22:30:00,"1,2,3,4,5,6,7",BRTS,NORMAL
158,6S-RN,6S,Rameshwar Park - Narol,Rameshwar Park,Narol,99,78,06:00:00,17:33:00,"1,2,3,4,5,6,7",BRTS,NORMAL
164,6E-SC,6E,Naroda ST Workshop - Geeta Gauri Cinema,Naroda S. T. Workshop,Geeta Gauri Cinema,121,101,10:27:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
165,6U,6U,Narol - Naroda S. T. Workshop,Narol,Naroda S. T. Workshop,77,122,06:00:00,22:00:00,"1,2,3,4,5,6,7",BRTS,NORMAL
169,9E-VJ,9E,Gota Vasant Nagar Township - Jaimangal,Gota Vasant Nagar Township,Jaimangal,340,14,11:59:00,22:38:00,"1,2,3,4,5,6,7",BRTS,NORMAL
176,7D-NS,7D,Narol - Sarangpur Darwaja,Narol,Sarangpur Darwaja,78,202,06:00:00,22:30:00,"1,2,3,4,5,6,7",BRTS,NORMAL
178,7D-SZ,7D,Sarkari Litho Press - Zundal Circle,Sarkari Litho Press Cabin,DCIS Circle,281,254,06:31:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
179,7S-ON,7S,Odhav Talav - Narol,Odhav Talav,Narol,155,78,06:08:00,06:08:00,"1,2,3,4,5,6,7",BRTS,NORMAL
180,7S-OS,7S,Odhav Talav - Sarangpur Darwaja,Odhav Talav,Sarangpur Darwaja,155,201,07:10:00,08:44:00,"1,2,3,4,5,6,7",BRTS,NORMAL
186,9U-VM,9U,Gota Vasant Nagar Township - Maninagar,Gota Vasant Nagar Township,Maninagar,340,317,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
188,7E-NO,7E,Narol - Odhav Talav,Narol,Odhav Talav,77,156,21:38:00,22:31:00,"1,2,3,4,5,6,7",BRTS,NORMAL
195,7U-SN,7U,Sarangpur Darwaja - Narol,Sarangpur Darwaja,Narol,201,77,06:05:00,22:34:00,"1,2,3,4,5,6,7",BRTS,NORMAL
198,7U-ZS,7U,Zundal Circle - Sarkari Litho Press,DCIS Circle,Sarkari Litho Press Cabin,253,282,06:05:00,22:30:00,"1,2,3,4,5,6,7",BRTS,NORMAL
204,8D-NB,8D,Naroda Gam - Bhadaj Circle,Naroda Gam,Bhadaj Circle,273,331,06:00:00,22:50:00,"1,2,3,4,5,6,7",BRTS,NORMAL
211,8S-CN,8S,Geeta Gauri Cinema - Naroda Gam,Geeta Gauri Cinema,Naroda Gam,102,319,14:28:00,20:27:00,"1,2,3,4,5,6,7",BRTS,NORMAL
212,8S-JB,8S,Jaimangal - Bhadaj Circle,Jaimangal,Bhadaj Circle,13,331,06:00:00,18:56:00,"1,2,3,4,5,6,7",BRTS,NORMAL
216,8S-SN,8S,SP Ring Road Approach - Naroda Gam,SP Ring Road Approach,Naroda Gam,157,319,05:51:00,08:34:00,"1,2,3,4,5,6,7",BRTS,NORMAL
217,8E-BJ,8E,Bhadaj Circle - Jaimangal,Bhadaj Circle,Jaimangal,332,14,12:02:00,22:34:00,"1,2,3,4,5,6,7",BRTS,NORMAL
219,8E-NC,8E,Naroda Gam - Geeta Gauri Cinema,Naroda Gam,Geeta Gauri Cinema,273,101,12:18:00,22:23:00,"1,2,3,4,5,6,7",BRTS,NORMAL
223,12D-PR,12D,Rameshwar Park - R.T.O Circle,Rameshwar Park,R.T.O Circle,99,1,06:00:00,17:15:00,"1,2,3,4,5,6,7",BRTS,NORMAL
224,12D-RC,12D,Rabari Colony - Chandkheda Gam,Rabari Colony,Chandkheda Gam,95,226,20:04:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
225,12D-RR,12D,Rabari Colony - R.T.O Circle,Rabari Colony,R.T.O Circle,95,1,06:58:00,21:48:00,"1,2,3,4,5,6,7",BRTS,NORMAL
228,8U-BN,8U,Bhadaj Circle - Naroda Gam,Bhadaj Circle,Naroda Gam,332,319,06:00:00,22:50:00,"1,2,3,4,5,6,7",BRTS,NORMAL
239,9D-LV,9D,LD Engg College - Gota Vasant Nagar Township,LD Engg. College,Gota Vasant Nagar Township,236,339,18:06:00,18:40:00,"1,2,3,4,5,6,7",BRTS,NORMAL
241,9D-MV,9D,Maninagar - Gota Vasant Nagar Township,Maninagar,Gota Vasant Nagar Township,57,339,06:03:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
242,9S-CM,9S,Chhipa Society - Maninagar,Chhipa Society,Maninagar,70,317,06:13:00,09:32:00,"1,2,3,4,5,6,7",BRTS,NORMAL
245,9S-JL,9S,Jaimangal - L.D Engg College,Jaimangal,LD Engg. College,13,235,17:34:00,18:05:00,"1,2,3,4,5,6,7",BRTS,NORMAL
246,9S-JM,9S,Jaimangal - Maninagar,Jaimangal,Maninagar,13,317,18:14:00,18:14:00,"1,2,3,4,5,6,7",BRTS,NORMAL
247,9S-JV,9S,Jaimangal - Gota Vasant Nagar Township,Jaimangal,Gota Vasant Nagar Township,13,339,06:00:00,17:22:00,"1,2,3,4,5,6,7",BRTS,NORMAL
249,9E-MJ,9E,Maninagar - Jaimangal,Maninagar,Jaimangal,57,14,13:44:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
252,9E-MK,9E,Maninagar - Kashiram Textiles,Maninagar,Kashiram Textiles,57,75,18:37:00,21:13:00,"1,2,3,4,5,6,7",BRTS,NORMAL
269,11U-AO,11U,Ajit Mill - Odhav Ring Road,Ajit Mill Char Rasta,SP Ring Road Approach,160,158,07:15:00,07:55:00,"1,2,3,4,5,6,7",BRTS,NORMAL
272,11U-LO,11U,LD Engg. College - Odhav Ring Road,LD Engg. College,SP Ring Road Approach,236,158,07:00:00,22:49:00,"1,2,3,4,5,6,7",BRTS,NORMAL
273,11U-LS,11U,LD Engg.College - Soma Textiles,LD Engg. College,Soma Textiles,236,228,21:37:00,22:39:00,"1,2,3,4,5,6,7",BRTS,NORMAL
282,12U-RL,12U,R.T.O Circle - Rabari Colony,R.T.O Circle,Rabari Colony,318,96,06:00:00,21:10:00,"1,2,3,4,5,6,7",BRTS,NORMAL
283,12U-RP,12U,R.T.O Circle - Rameshwar Park,R.T.O Circle,Rameshwar Park,318,100,09:42:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
299,14D-OS,14D,Odhav Ring Road - Sanand Circle,SP Ring Road Approach,Sanand Circle,157,349,06:00:00,18:15:00,"1,2,3,4,5,6,7",BRTS,NORMAL
300,14D-SS,14D,Sarangpur Darwaja - Sanand Circle,Sarangpur Darwaja,Sanand Circle,201,349,07:10:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
304,101,101,R.T.O(Circular)-,R.T.O Circle,R.T.O Circle,1,318,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
310,14S-JS,14S,Jaimangal - Sanand Circle,Jaimangal,Sanand Circle,13,348,06:00:00,16:20:00,"1,2,3,4,5,6,7",BRTS,NORMAL
314,14E-SJ,14E,Sanand Circle - Jaimangal,Sanand Circle,Jaimangal,349,14,12:24:00,12:54:00,"1,2,3,4,5,6,7",BRTS,NORMAL
326,14U-SO,14U,Sanand Circle - Odhav Ring Road,Sanand Circle,SP Ring Road Approach,348,158,11:14:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
327,14U-SS,14U,Sanand Circle - Sarangpur Darwaja,Sanand Circle,Sarangpur Darwaja,348,202,06:20:00,21:55:00,"1,2,3,4,5,6,7",BRTS,NORMAL
329,15D,15D,Iskcon Cross Road - R.T.O Circle,ISKCON Cross Road,R.T.O Circle,143,1,06:15:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
330,15D-IA,15D,Iskcon Cross Road - Ahmedabad Domestic Airport,ISKCON Cross Road,Ahmedabad Domestic Airport,143,1001,06:00:00,22:10:00,"1,2,3,4,5,6,7",BRTS,NORMAL
339,15S-JI,15S,Jaimangal - Iskcon Cross Road,Jaimangal,ISKCON Cross Road,13,144,06:00:00,16:39:00,"1,2,3,4,5,6,7",BRTS,NORMAL
340,15S-PA,15S,Pragatinagar - Airport,Pragatinagar,Ahmedabad Domestic Airport,10,1001,06:00:00,06:00:00,"1,2,3,4,5,6,7",BRTS,NORMAL
341,15S-PR,15S,Pragatinagar - R.T.O Circle,Pragatinagar,R.T.O Circle,10,1,07:17:00,18:18:00,"1,2,3,4,5,6,7",BRTS,NORMAL
342,15E-AS,15E,Airport - Shastrinagar,Ahmedabad Domestic Airport,Shastrinagar,1002,11,22:25:00,22:25:00,"1,2,3,4,5,6,7",BRTS,NORMAL
343,15E-IJ,15E,Iskcon Cross Road - Jaimangal,ISKCON Cross Road,Jaimangal,143,14,10:56:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
344,15E-RS,15E,R.T.O Circle - Shastrinagar,R.T.O Circle,Shastrinagar,318,11,12:22:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
347,15U,15U,R.T.O Circle - Iskcon Cross Road,R.T.O Circle,ISKCON Cross Road,318,144,07:05:00,21:47:00,"1,2,3,4,5,6,7",BRTS,NORMAL
348,15U-AI,15U,Ahmedabad Domestic Airport - Iskcon Cross Road,Ahmedabad Domestic Airport,ISKCON Cross Road,1002,144,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
351,16D-NS,16D,Nehrunagar - Sanand Circle,Nehrunagar,Sanand Circle,32,348,06:20:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
352,16S,16S,Jaimangal - Nehrunagar,Jaimangal,Nehrunagar,13,31,06:01:00,18:14:00,"1,2,3,4,5,6,7",BRTS,NORMAL
353,16S-JS,16S,Jaimangal - Sanand Circle,Jaimangal,Sanand Circle,13,348,06:00:00,17:36:00,"1,2,3,4,5,6,7",BRTS,NORMAL
355,16E,16E,Nehrunagar - Jaimangal,Nehrunagar,Jaimangal,32,14,12:20:00,22:29:00,"1,2,3,4,5,6,7",BRTS,NORMAL
356,16E-SJ,16E,Sanand Circle - Jaimangal,Sanand Circle,Jaimangal,349,14,13:36:00,22:50:00,"1,2,3,4,5,6,7",BRTS,NORMAL
358,16U-SN,16U,Sanand Circle - Nehrunagar,Sanand Circle,Nehrunagar,349,31,06:20:00,22:18:00,"1,2,3,4,5,6,7",BRTS,NORMAL
359,17D,17D,Nehrunagar - South Bopal,Nehrunagar,South Bopal BRTS Terminus,32,356,06:25:00,22:46:00,"1,2,3,4,5,6,7",BRTS,NORMAL
360,17S,17S,Jaimangal - Nehrunagar,Jaimangal,Nehrunagar,13,31,06:07:00,18:14:00,"1,2,3,4,5,6,7",BRTS,NORMAL
361,17S-JB,17S,Jaimangal - South Bopal,Jaimangal,South Bopal BRTS Terminus,13,356,06:00:00,07:11:00,"1,2,3,4,5,6,7",BRTS,NORMAL
362,17E,17E,Nehrunagar - Jaimangal,Nehrunagar,Jaimangal,32,14,12:04:00,16:08:00,"1,2,3,4,5,6,7",BRTS,NORMAL
363,17E-BJ,17E,South Bopal - Jaimangal,South Bopal BRTS Terminus,Jaimangal,357,14,12:30:00,22:48:00,"1,2,3,4,5,6,7",BRTS,NORMAL
